image_name blink head_pose_yaw_angle head_pose_pitch_angle head_pose_roll_angle left_eye_horizontal_position left_eye_vertical_position right_eye_horizontal_position right_eye_vertical_position
210.jpg False -24.629 -27.229 -4.089 -0.06890 0.00659 -0.06776 -0.02070
211.jpg False -24.382 -29.057 -4.756 -0.06390 -0.00846 -0.06260 -0.03147
212.jpg False -24.104 -30.831 -5.310 -0.06175 -0.00967 -0.06423 -0.03168
213.jpg False -23.767 -32.466 -5.741 -0.05878 -0.01561 -0.07336 -0.03404
214.jpg False -23.375 -33.876 -6.098 -0.05502 -0.01755 -0.08343 -0.03362
215.jpg False -22.959 -34.927 -6.331 -0.05018 -0.01464 -0.08979 -0.03034
216.jpg False -22.566 -35.660 -6.483 -0.04801 -0.00994 -0.09894 -0.02885
217.jpg False -22.191 -36.045 -6.583 -0.04926 -0.01890 -0.11427 -0.04270
218.jpg False -21.828 -36.221 -6.685 -0.05033 -0.02002 -0.11885 -0.05016
219.jpg False -21.482 -36.109 -6.712 -0.05062 -0.01700 -0.11829 -0.05511
220.jpg False -21.195 -35.863 -6.711 -0.05194 -0.01055 -0.11307 -0.06067
221.jpg False -20.897 -35.476 -6.653 -0.05069 -0.00455 -0.10598 -0.05631
222.jpg False -20.555 -34.982 -6.565 -0.05155 0.00452 -0.09707 -0.04453
223.jpg False -20.123 -34.258 -6.411 -0.05484 0.01695 -0.09344 -0.03633
224.jpg False -19.546 -33.351 -6.210 -0.05913 0.02115 -0.09140 -0.02996
225.jpg False -18.732 -32.124 -5.932 -0.06668 0.01328 -0.09427 -0.03061
226.jpg False -17.779 -30.567 -5.567 -0.07531 0.00622 -0.09404 -0.03551
227.jpg False -16.721 -28.595 -5.055 -0.08061 0.00162 -0.09022 -0.03538
228.jpg False -15.661 -26.270 -4.397 -0.08497 -0.00755 -0.08744 -0.03304
229.jpg False -14.716 -23.639 -3.657 -0.08656 -0.01244 -0.08411 -0.03104
230.jpg False -13.953 -20.903 -2.884 -0.08383 -0.01203 -0.08031 -0.02958
231.jpg False -13.351 -18.196 -2.076 -0.08231 -0.01033 -0.08140 -0.02573
232.jpg False -12.939 -15.623 -1.325 -0.07863 -0.00505 -0.08411 -0.01860
233.jpg False -12.710 -13.305 -0.678 -0.07292 0.00004 -0.08777 -0.01092
234.jpg False -12.584 -11.312 -0.140 -0.06819 0.00761 -0.09264 -0.00276
235.jpg False -12.573 -9.738 0.257 -0.06480 0.01430 -0.09577 0.00837
236.jpg False -12.606 -8.517 0.487 -0.06140 0.02164 -0.09643 0.01866
237.jpg False -12.647 -7.787 0.572 -0.06141 0.02555 -0.09382 0.02339
238.jpg False -12.656 -7.404 0.575 -0.06157 0.02840 -0.09136 0.02919
239.jpg False -12.592 -7.389 0.491 -0.06013 0.03036 -0.08479 0.03443
240.jpg False -12.501 -7.601 0.393 -0.05783 0.02913 -0.07841 0.03548
241.jpg False -12.388 -8.108 0.228 -0.05400 0.02560 -0.06647 0.03492
242.jpg False -12.179 -8.663 0.076 -0.04217 0.02430 -0.04983 0.03557
243.jpg False -11.731 -9.179 -0.087 -0.02154 0.02198 -0.02412 0.03210
244.jpg False -11.016 -9.657 -0.263 0.00654 0.01771 0.00862 0.02813
245.jpg False -9.882 -10.020 -0.467 0.04031 0.01238 0.04919 0.02515
246.jpg False -8.297 -10.150 -0.691 0.07679 0.00632 0.09045 0.01715
247.jpg False -6.314 -10.218 -0.958 0.11287 -0.00281 0.12769 0.00809
248.jpg False -3.988 -10.377 -1.309 0.14303 -0.00821 0.15821 0.00127
249.jpg False -1.396 -10.619 -1.676 0.16215 -0.01203 0.17882 -0.00594
250.jpg False 1.312 -11.027 -2.064 0.17274 -0.01126 0.19018 -0.01347
251.jpg False 3.945 -11.617 -2.421 0.17653 -0.00964 0.19436 -0.01563
252.jpg False 6.424 -12.301 -2.741 0.17392 -0.00854 0.19487 -0.01390
253.jpg False 8.594 -12.984 -3.075 0.16604 -0.01138 0.19161 -0.01478
254.jpg False 10.369 -13.680 -3.376 0.15762 -0.01337 0.18596 -0.01648
255.jpg False 11.841 -14.251 -3.669 0.15078 -0.01359 0.17922 -0.01291
256.jpg False 13.157 -14.767 -3.953 0.14880 -0.01123 0.17349 -0.01026
257.jpg False 14.353 -15.209 -4.264 0.14519 -0.00586 0.16534 -0.00716
